x,y
16.245993,3.6663299
16.255117,3.6437464
16.22496,3.5365782
16.24537,3.5879002
16.11385,3.4534178
16.238228,3.874788
16.133795,3.6453109
9.851025,10.840401
10.09505,11.590659
15.876332,3.2427373
16.191772,3.894682
-2.5053189,3.8079665
8.771862,6.421885
8.2310915,6.456396
16.190613,3.6157153
16.21843,3.6639802
16.25487,3.698429
8.751944,6.418443
16.128376,3.5839221
8.806301,6.4242926
16.157272,3.6360934
16.164433,3.6404035
16.245935,3.8089304
16.26532,3.761415
16.231897,3.707442
16.097986,3.9299848
13.171602,2.185893
4.1655636,9.062888
15.705963,3.1323698
15.557418,3.0260124
16.168247,3.853788
10.155037,11.669176
10.113611,11.631326
8.87332,6.3643517
15.909486,4.8296537
8.339706,6.755195
9.318206,9.165809
16.128683,4.3453116
-1.1719599,6.592949
16.250277,3.7072024
15.676345,3.7747004
8.849473,6.350562
-2.492034,3.8214197
15.989236,3.6516292
16.200935,3.9575117
8.3896,6.726298
14.755917,3.8155563
12.897925,2.52657
16.1526,3.7668142
8.679439,6.3721585
8.421807,6.753833
8.763671,6.3637238
16.25477,3.7438588
16.154808,3.9142163
15.925452,3.7822368
16.133595,3.7195256
13.206523,2.1899617
15.7189245,3.7971
15.8810625,3.92344
15.403719,3.8321285
15.983725,3.8689842
16.0065,3.950893
16.054113,3.7324624
16.048927,3.6310802
8.711278,6.390645
-2.5000036,3.813246
9.95032,11.058157
15.575468,3.0265691
14.202798,5.3352656
8.736813,6.388118
15.597308,3.9619122
16.239927,3.762496
-2.5020633,3.8111787
13.748438,5.3289094
15.635666,4.0224032
8.719243,6.372695
16.073067,3.9802935
16.017214,3.9386861
12.914462,2.4136293
15.557671,3.1104984
15.548145,3.1335144
8.722056,6.372633
8.863156,6.2637777
15.509375,3.1241424
4.050408,8.764377
15.606566,3.1230018
13.034295,2.3531303
15.339808,3.250498
4.0720983,8.041144
8.687382,6.358344
16.158007,3.966995
15.6342125,4.355379
8.254014,6.073535
13.129577,2.2109592
8.554867,6.264972
15.738383,3.188365
15.871829,3.8477097
13.055596,2.221349
15.761575,3.8125062
15.673612,3.6684878
15.578992,3.0904434
8.394612,6.0685577
8.589462,6.2184577
16.001783,3.6815112
13.18002,2.1680713
16.084595,4.3679657
15.518076,3.903168
15.309189,4.06485
4.706019,4.7842155
15.64311,3.961768
9.792581,10.805597
7.2705274,6.161254
16.1067,3.9693336
15.27993,4.1240582
9.673245,10.655132
15.48,4.2860923
4.4083486,5.3144236
14.945318,3.4027245
15.97485,3.9024494
15.159331,4.7462015
7.39904,6.0806193
15.513938,3.9902842
7.1791635,6.1394477
15.174404,3.8743696
8.870571,6.1378884
15.547588,3.0542088
15.902879,4.683859
9.303828,9.126879
4.165127,9.060542
8.472555,6.9107966
15.657506,3.8244982
15.664372,3.8362694
15.118586,4.112801
13.799495,5.2634735
12.555214,3.9121785
15.290266,4.004641
14.50016,5.497911
-1.1866341,6.592459
13.400528,2.1281235
8.035802,6.356482
4.6609683,4.4516597
13.090956,2.24068
15.252706,4.104573
15.513553,4.0382285
16.0353,4.519443
9.933146,11.523653
4.765002,5.159435
4.1835265,4.9420276
9.64732,11.115535
15.726561,3.6973588
4.8595514,5.2495627
15.051164,4.9181128
15.323976,3.9224656
9.287443,9.120527
4.598974,8.288976
15.218942,3.975388
10.07755,11.597852
4.925257,5.3803062
14.414573,4.0753193
8.44123,6.4455705
15.928104,4.822723
10.115559,11.641647
15.185379,3.189029
7.919494,6.2577243
15.969484,4.7552733
4.061272,8.762954
14.78499,3.9944017
7.976579,6.0148025
9.943661,11.4536
13.410186,2.350036
15.272877,4.0783157
8.121866,2.6451845
13.404268,2.1563957
15.85095,4.6362653
15.751702,3.9296196
15.272236,3.8418176
15.5769,4.012406
8.989973,4.107113
10.100329,11.62417
4.5498734,4.592972
9.327641,9.565061
13.460943,2.411411
9.5325165,10.558358
13.195771,2.2077122
15.501485,3.9392784
7.2252917,6.113508
8.711883,6.348781
4.6051955,5.0056367
10.0983715,11.627298
5.2025366,5.491886
15.436362,3.0582986
14.643613,3.914996
14.660057,3.913496
4.1417975,9.034774
15.371598,3.580543
-1.3534217,5.0366178
8.759607,6.409113
9.766954,10.996712
9.718649,10.644928
10.122734,11.638715
15.488989,3.5018148
7.9148717,5.9264197
12.982359,2.3073099
15.392395,3.1741598
15.234753,4.0648127
15.3790865,3.3824813
15.357979,3.477868
8.653249,6.355396
15.681657,4.1733446
9.700092,10.695791
-1.172661,6.61634
4.8868966,5.0185046
