x,y
59.586243,-4.6477933
59.63245,-4.829648
59.402233,-5.3246307
59.34485,-5.2304707
59.31148,-5.4918585
60.063324,-3.7061145
58.352158,-5.164313
-11.954759,48.60862
-21.089811,49.888428
56.840725,-9.703081
58.214813,-2.7303026
-55.37879,-16.547077
7.9100275,28.446556
2.2256773,28.464031
58.5473,-4.814147
58.609135,-4.4439707
59.00135,-4.093631
8.571641,28.899036
58.168125,-5.194689
8.663141,28.236671
58.275864,-4.881923
58.248703,-4.8584704
58.29735,-3.359631
59.053516,-3.3487418
58.75278,-4.0449195
57.83238,-2.5454538
40.408062,-21.728416
-4.827698,-40.224598
56.607254,-9.916979
56.00129,-11.176516
57.99209,-3.0239086
-20.929369,49.90871
-20.9518,49.89257
9.756477,27.308586
53.504375,6.763708
-2.9894695,31.69405
-5.9130707,36.481167
54.920654,5.0920515
-55.623882,4.0658
59.297523,-3.9656687
55.896843,-4.7774005
9.70296,27.306543
-55.395805,-16.564825
57.49054,-5.0253267
57.9912,-2.5521152
-2.5883684,31.694181
49.448105,-7.497952
37.294804,-20.743507
58.287495,-4.03786
6.818781,28.221918
-2.5612686,31.69556
8.47952,28.171207
59.425312,-3.7364297
57.88994,-2.8037558
56.813873,-4.3838024
59.709103,-3.6231663
40.501633,-21.54313
56.116013,-4.849987
56.457607,-2.5290651
53.752953,-3.2427123
56.973206,-3.5584774
57.076935,-2.5210896
57.374596,-4.737651
57.756977,-4.9946556
7.870148,28.22253
-55.330185,-16.494179
-12.971728,48.884354
55.85846,-10.733917
43.005314,9.640508
7.8569574,28.118326
55.4217,-2.3511856
59.333004,-3.6381848
-55.379566,-16.549189
35.293827,6.7027364
54.267918,-1.8945472
7.60585,28.07029
57.44641,-1.8982661
57.234715,-2.959937
38.20061,-20.166904
55.411777,-10.259732
55.537106,-10.07275
8.450401,26.963758
9.665122,27.009981
55.461487,-10.212924
-10.633837,-37.84801
55.883884,-9.948915
39.105457,-20.129383
54.534473,-9.416051
-12.5053625,-34.99844
8.342391,26.857334
57.83827,-2.5013857
53.830242,0.60487866
2.4852717,23.40943
40.04888,-21.413355
5.391803,26.714285
56.317947,-9.652842
56.756374,-3.7838464
39.407703,-21.162806
55.618534,-4.174912
56.22867,-5.5110006
55.763935,-10.378305
1.9864998,25.453419
6.496928,27.410591
57.147274,-4.975205
40.462708,-21.636936
54.646904,5.001024
54.45936,-3.9755116
53.176075,-1.6880896
-37.417946,-6.247047
54.67634,-2.8878365
-12.904108,48.619305
-4.811177,23.299042
57.581875,-2.6016514
52.250248,-1.1684563
-11.885564,48.13854
53.670956,0.2366662
-27.880558,-18.33874
51.282543,-9.528493
56.891464,-3.3138251
50.975986,2.7872288
-4.8589535,24.066278
54.326862,-2.6327937
-5.51657,23.252386
52.193665,-6.033568
9.819739,26.02685
55.65774,-10.65862
53.72751,5.4037085
-6.071762,36.266823
-4.9318647,-40.00141
-4.7855434,35.526176
55.277737,-5.04352
55.65517,-4.6339226
50.74408,-1.7617493
39.15495,6.939232
33.574867,-4.8262405
52.38669,-2.579072
44.26888,9.8508215
-55.44107,3.7893014
41.805946,-21.121094
2.230005,28.234287
-30.358658,10.80358
39.465145,-21.25014
52.067772,-2.273969
53.49711,-2.1787117
54.48695,5.2545776
-20.195057,47.860203
-36.88472,3.778605
-29.348211,-14.553135
-16.169695,46.85724
56.337494,-5.3095207
-37.12949,3.756718
50.61007,3.3942776
52.994667,-4.2166476
-6.1380205,35.58319
-8.344458,-39.019173
52.023926,-2.8243392
-20.147158,49.752453
-21.286028,-16.457102
46.541027,-3.3930607
4.380981,27.784655
53.91661,6.4312873
-20.186657,50.06014
53.621742,-10.061237
1.1590585,28.185028
53.775455,6.107371
-10.629332,-37.839745
48.94348,-4.4401493
5.340291,17.061272
-19.644438,48.349804
41.819187,-19.43281
53.126488,-1.8812262
13.777785,11.580614
41.791664,-21.099989
53.601624,5.7080398
55.68873,-2.8236444
53.03799,-5.496371
55.11647,-2.3428068
16.7615,8.607366
-19.994667,50.202847
-31.40688,-3.9300764
-7.402905,36.597168
42.479122,-18.687897
-11.39902,45.394844
40.347435,-21.320423
53.46996,-4.273145
-5.3285494,23.346031
8.150604,26.832926
-33.118362,-10.196387
-20.092718,49.997086
-36.464256,-10.612459
54.7276,-10.729162
46.709198,-5.7246423
48.35208,-5.5449944
-5.196287,-40.05764
53.782154,-7.430053
-51.615738,-10.733356
8.026273,28.141619
-15.447181,48.63782
-11.81923,46.117157
-20.238905,50.13376
55.131207,-6.751396
-0.6344419,24.783554
39.101585,-20.865526
54.799232,-9.996389
51.781456,0.081991754
54.34382,-8.807652
53.933037,-7.961835
7.4303927,27.93761
54.968365,-2.2108057
-12.533096,46.81147
-55.60643,2.483189
16.497532,8.027133
-19.784649,48.455338
54.529,-3.0192547
52.753895,6.8664126
49.716084,-2.9665647
53.394623,2.676287
-32.36084,-14.19531
54.99451,-4.249982
41.133602,-20.713339
54.146618,-5.076209
51.99451,-2.1096923
55.267693,-10.125409
-55.563732,2.9061267
35.43649,6.290652
6.3266273,24.757584
-32.294056,6.43336
-11.334319,43.802948
6.445986,25.96278
38.163044,-19.877985
-35.331543,-3.0498774
-12.570021,47.62846
-36.68425,0.101777345
51.56392,2.2239363
53.26697,-7.3431435
55.204834,-6.043559
55.47051,-10.226108
39.929203,-20.702946
39.361286,-20.914478
-4.3070188,-39.502464
-12.874443,-34.097885
52.774776,-5.7077184
-8.216713,39.967857
-32.80835,10.126343
-5.9816294,35.028522
38.43068,-17.515978
54.955673,-10.590741
-20.073545,49.174034
54.317642,5.50313
5.9218497,26.027704
48.801373,-7.6932344
51.913197,-6.0830884
7.6649284,27.36066
53.538746,-8.974602
54.743523,-3.419278
-18.498941,-22.090132
-14.098908,-29.356031
-6.9942403,19.877148
-11.228859,27.667185
7.0911636,25.11868
-20.063684,48.353
-36.234,-2.4394767
-18.68431,49.79656
53.707966,-9.802649
1.5651081,27.075916
52.11453,-6.882318
-36.537292,-7.5732803
-5.457662,-38.155815
-9.2538805,-28.956778
53.0118,-5.018598
2.7517629,18.482956
-54.732758,1.6259468
-17.821373,47.271084
-35.34815,1.8397704
-11.037677,-36.08857
-4.44795,-39.568905
-14.7309,45.818188
-19.65032,47.707737
-19.07571,49.92707
5.4172616,25.585432
9.654433,25.82261
52.20641,3.6679587
-5.559411,-39.873104
51.640545,-6.628579
54.32436,-3.9666033
-5.9092054,35.771393
-18.289717,49.995777
8.453433,26.5664
51.371902,0.29869378
-36.501717,-1.3406463
-19.0873,45.97082
14.252599,14.286465
38.254524,-20.009367
52.896046,3.9412804
-7.191785,35.181976
-36.183754,5.3596354
52.063393,-2.6728625
11.3371,24.203348
52.91454,3.1751003
17.528252,7.4389133
-36.049297,-1.9551936
0.06799592,26.692228
-51.958057,-14.113935
44.011646,-6.397375
53.369804,-3.76539
-29.456886,9.0527
-19.77854,49.986076
-26.737793,-15.481084
34.314182,-12.965204
54.752705,-9.724657
7.0730715,25.602562
49.417843,1.7007872
10.118458,25.77162
-54.672703,-14.373622
53.468914,6.16046
-19.516497,48.767883
52.92059,-8.377196
51.892765,4.112267
-36.76485,-10.365324
-54.88537,-16.031528
53.088276,2.912754
-9.517995,45.21331
49.808826,7.5243373
-4.95908,30.313046
49.994785,0.18083003
-5.0891147,-39.95653
-5.131628,24.344103
-33.45723,-8.975917
-21.301243,-16.186733
51.959934,-2.1668618
-26.095726,-14.778091
-33.36415,7.62772
-4.9458795,24.09729
51.62508,-1.2153202
55.017845,-6.4220953
-13.497493,45.946796
41.796383,-20.838476
52.7119,2.7284188
-53.692135,0.5630668
-19.452822,48.37144
56.14486,-3.593861
-18.408451,48.006065
53.18034,-11.263595
53.700714,0.8501997
-32.264156,-8.949167
53.22737,-8.086282
-32.370686,-14.184053
0.9464313,35.61126
-20.925514,-17.818266
14.829424,8.692889
8.29254,25.354712
-18.426857,44.85423
54.574947,-10.674497
51.36214,-3.6365576
-11.401549,47.824955
-14.508677,48.252754
47.91967,-2.8465421
55.25044,-2.4275894
-55.04651,3.4307947
-19.907297,49.80556
-16.009872,46.966152
-9.9516,-25.514967
4.6563773,-27.550373
7.182245,27.603456
-14.12858,22.614105
-18.292742,18.15073
9.489795,-27.517294
-18.45989,48.306248
41.358185,-7.2844906
50.85069,-5.0047483
44.214764,-4.5740542
53.741302,-7.9841127
-9.341077,43.26292
-0.5937655,-30.71566
-15.318686,45.447598
5.355357,26.431923
52.448696,-4.546516
-54.8468,-15.98215
6.8130355,27.488588
7.5368237,24.313475
50.659096,-3.0110033
50.340794,7.64982
46.922325,-4.367705
50.572033,-5.284056
6.764203,23.757357
37.85259,-19.533062
-55.807358,2.3560975
-18.935228,48.5833
-15.239414,46.66388
-13.727922,48.347298
-8.109137,23.15293
47.505257,-4.918982
53.72695,6.2468276
4.1060014,23.727863
42.417366,-7.1353836
7.065975,21.222527
-33.101395,-9.538928
51.087498,-4.4871535
-8.18851,18.714588
50.955482,-0.21186408
50.912476,-3.3909678
5.1250873,22.322784
39.347557,-20.90895
54.994656,-5.449277
45.180126,9.38641
52.88124,3.286153
-16.138002,-27.117231
52.777275,5.0985084
-52.8521,-14.587017
-30.48045,-6.128037
54.071182,-10.044936
-25.16142,12.501676
53.428352,-9.620555
47.724216,-4.0572
3.4006875,25.01368
5.97224,-27.6838
49.086254,-2.607736
-36.434418,3.628686
8.56109,24.43527
-19.218193,49.098667
0.81448734,35.8039
8.151805,25.332232
53.132744,-8.274338
-15.427756,47.161808
-35.521645,-10.538191
-35.70159,0.04176426
-7.5564675,33.31377
8.15322,26.810087
39.44627,5.0453935
37.718403,4.906492
52.409332,-3.0787594
3.3154452,28.531214
49.415855,-4.998956
-7.17253,37.826084
-54.78044,-15.900192
49.811626,-6.861205
6.2166767,21.624472
53.43532,-9.744839
-29.093082,-1.2942502
